"ID","Device Name","Path","Description","Notes","ACK","Severity","Rules","Incident Time","Ticket","Date Ignored","Ignore Until","Reason","Ignored By"
"29315","SDR-33-AF","Marion Woods","Synthesizer Lock Fail","","Not Acknowledged","Major","","2023-03-14 16:42","","","","",""
"28737","BDA 2100","Bluewater Lodge","Connection Lost - Unable to Communicate with the device.","","Not Acknowledged","Critical","","2022-12-30 09:04","","","","",""
"28697","eFemto 700","Willow Grove","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-12-25 12:59","","","","",""
"28698","eFemto 700","Willow Grove","Scan Incomplete","","Not Acknowledged","Critical","","2022-12-25 12:59","","","","",""
"28696","Digi Modem","Willow Grove","Communication Failure. Device is OFFLINE or SNMP may not be enabled.","","Not Acknowledged","Critical","","2022-12-25 12:46","","","","",""
"28693","eFemto 2100","Willow Grove","Scan Incomplete","","Not Acknowledged","Critical","","2022-12-25 09:40","","","","",""
"28692","eFemto 2100","Willow Grove","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-12-25 09:40","","","","",""
"28636","Digi Modem","Bluewater Lodge","Communication Failure. Device is OFFLINE or SNMP may not be enabled.","","Not Acknowledged","Critical","","2022-12-20 21:13","","","","",""
"28634","eFemto 2100","Bluewater Lodge","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-12-20 20:10","","","","",""
"28635","eFemto 2100","Bluewater Lodge","Scan Incomplete","","Not Acknowledged","Critical","","2022-12-20 20:10","","","","",""
"28622","SDR-33-AF","Marion Woods","Signal Low","","Not Acknowledged","Critical","","2022-12-20 01:50","","","","",""
"28621","SDR-33-AF","Marion Woods","Signal Not Det","","Not Acknowledged","Critical","","2022-12-20 01:50","","","","",""
"27938","BDA 700","Sugar Valley Estates","Connection Lost - Unable to Communicate with the device.","","Not Acknowledged","Critical","","2022-11-16 23:12","","","","",""
"27936","eFemto 700","Sugar Valley Estates","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-11-16 22:55","","","","",""
"27937","eFemto 700","Sugar Valley Estates","Scan Incomplete","","Not Acknowledged","Critical","","2022-11-16 22:55","","","","",""
"27935","eFemto 2100","Sugar Valley Estates","Scan Incomplete","","Not Acknowledged","Critical","","2022-11-16 22:30","","","","",""
"27934","eFemto 2100","Sugar Valley Estates","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-11-16 22:30","","","","",""
"27932","BDA 2100","Sugar Valley Estates","Connection Lost - Unable to Communicate with the device.","","Not Acknowledged","Critical","","2022-11-16 22:08","","","","",""
"22880","Digi Modem","Walden Place","Communication Failure. Device is OFFLINE or SNMP may not be enabled.","","Not Acknowledged","Critical","","2022-08-10 00:45","","","","",""
"22877","BDA 700","Walden Place","Connection Lost - Unable to Communicate with the device.","","Not Acknowledged","Critical","","2022-08-09 23:59","","","","",""
"22874","BDA 2100","Walden Place","Connection Lost - Unable to Communicate with the device.","","Not Acknowledged","Critical","","2022-08-09 23:48","","","","",""
"22872","eFemto 2100","Walden Place","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-08-09 23:46","","","","",""
"22873","eFemto 2100","Walden Place","Scan Incomplete","","Not Acknowledged","Critical","","2022-08-09 23:46","","","","",""
"22871","eFemto 700","Walden Place","Scan Incomplete","","Not Acknowledged","Critical","","2022-08-09 23:41","","","","",""
"22870","eFemto 700","Walden Place","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2022-08-09 23:41","","","","",""
